Merk,ModelName,Tipe,Transmisi,Tahun,min_price,avg_price,max_price,count,KodeDaerah,lokasi,kilometer2
BMW,320D,320D CKD AT,AUTOMATIC,2016,198000000,198000000.0,198000000,1,B,JAKARTA,30k-50k
BMW,320I,320I CKD AT,AUTOMATIC,2016,300000000,300000000.0,300000000,1,B,JAKARTA,10k-30k
BMW,320I,320I CKD AT,AUTOMATIC,2016,94000000,94000000.0,94000000,1,B,JAKARTA,<10k
BMW,320I,320I CKD AT,AUTOMATIC,2016,242500000,268375000.0,286000000,4,B,JAKARTA,>50k
BMW,320I,320I CKD AT,AUTOMATIC,2017,285500000,285500000.0,285500000,1,B,JAKARTA,>50k
BMW,320I,320I N20 CKD A/T,AUTOMATIC,2014,212500000,216250000.0,220000000,2,B,JAKARTA,>50k
BMW,320I,320I N20 CKD A/T,AUTOMATIC,2015,253000000,253000000.0,253000000,1,B,JAKARTA,30k-50k
BMW,328I,328I CKD A/T,AUTOMATIC,2013,230000000,230000000.0,230000000,1,DK,SURABAYA,>50k
BMW,330I,330I CKD B7 AT,AUTOMATIC,2021,460000000,460000000.0,460000000,1,B,JAKARTA,>50k
BMW,330I,330I CKD B7 AT,AUTOMATIC,2021,585000000,585000000.0,585000000,1,B,SURABAYA,<10k
BMW,520D,520D G30 CKD A/T,AUTOMATIC,2017,319500000,319500000.0,319500000,1,B,JAKARTA,>50k
BMW,520D,520D G30 CKD A/T,AUTOMATIC,2017,380000000,380000000.0,380000000,1,D,JAKARTA,10k-30k
BMW,520I,520I A/T,AUTOMATIC,2012,150000000,150000000.0,150000000,1,L,JAKARTA,>50k
BMW,520I,520I CKD A/T,AUTOMATIC,2015,284000000,284000000.0,284000000,1,B,JAKARTA,>50k
BMW,520I,520I CKD A/T,AUTOMATIC,2017,289500000,289500000.0,289500000,1,B,JAKARTA,>50k
BMW,520I,520I G30 CKD A/T,AUTOMATIC,2018,205000000,205000000.0,205000000,1,B,JAKARTA,<10k
BMW,520I,520I G30 CKD A/T,AUTOMATIC,2019,410000000,410000000.0,410000000,1,B,JAKARTA,30k-50k
BMW,528I,528I CKD A/T,AUTOMATIC,2012,192000000,192000000.0,192000000,1,L,JAKARTA,>50k
BMW,528I,528I CKD A/T,AUTOMATIC,2016,260000000,260000000.0,260000000,1,AB,JAKARTA,>50k
BMW,530I,530I CKD AT,AUTOMATIC,2018,350000000,350000000.0,350000000,1,B,JAKARTA,30k-50k
BMW,530I,530I CKD AT,AUTOMATIC,2020,519000000,519000000.0,519000000,1,B,JAKARTA,>50k
BMW,X1,X1 S DRIVE 1.8 I CKD A/T,AUTOMATIC,2013,53000000,53000000.0,53000000,1,B,BANDUNG,<10k
BMW,X1,X1 S DRIVE 1.8 I CKD A/T,AUTOMATIC,2014,140000000,140000000.0,140000000,1,B,JAKARTA,>50k
BMW,X1,X1 SDRIVE 1.8 I A/T,AUTOMATIC,2013,146500000,146500000.0,146500000,1,DD,JAKARTA,>50k
BMW,X1,X1 SDRIVE 1.8I F 48 A/T,AUTOMATIC,2017,253000000,253000000.0,253000000,1,B,JAKARTA,>50k
BMW,X1,X1 SDRIVE 1.8I F 48 A/T,AUTOMATIC,2018,277000000,277000000.0,277000000,1,B,JAKARTA,30k-50k
BMW,X1,X1 SDRIVE 1.8I F 48 A/T,AUTOMATIC,2019,360000000,360000000.0,360000000,1,B,JAKARTA,>50k
BMW,X1,X1 SDRIVE 18I F48 AT,AUTOMATIC,2019,275000000,275000000.0,275000000,1,B,JAKARTA,30k-50k
BMW,X1,X1 SDRIVE 18I F48 AT,AUTOMATIC,2019,325000000,325000000.0,325000000,1,K,SEMARANG,30k-50k
BMW,X1,X1 SDRIVE 18I F48 AT,AUTOMATIC,2021,403000000,403000000.0,403000000,1,B,JAKARTA,30k-50k
BMW,X3,X3 X DRIVE 20 I CKD A/T,AUTOMATIC,2018,291000000,291000000.0,291000000,1,B,PEKANBARU,>50k
BMW,X5,X5 XDRIVE 3.5 I CKD AT,AUTOMATIC,2017,363000000,363000000.0,363000000,1,B,JAKARTA,>50k
BMW,X5,X5 XDRIVE 40I G05 CKD - A7 A/T,AUTOMATIC,2021,586000000,586000000.0,586000000,1,B,JAKARTA,>50k
BYD,SEALION 7,SEALION 7 PERFORMANCE,AUTOMATIC,2025,541000000,541000000.0,541000000,1,B,JAKARTA,<10k
CHERY,OMODA,OMODA 5 EV CVT,AUTOMATIC,2024,265000000,265000000.0,265000000,1,B,JAKARTA,30k-50k
CHERY,TIGGO,TIGGO 8 PREMIUM,AUTOMATIC,2024,235000000,235000000.0,235000000,1,N,SURABAYA,30k-50k
CHEVROLET,CAPTIVA,CAPTIVA 2.0 L FL 2 (4X2) A/T,AUTOMATIC,2013,38000000,38000000.0,38000000,1,L,SEMARANG,<10k
CHEVROLET,SPIN,SPIN 1.5 LTZ AT,AUTOMATIC,2013,22000000,22000000.0,22000000,1,N,SURABAYA,>50k
CITROEN,C3,C3 AIRCROSS,AUTOMATIC,2024,170500000,170500000.0,170500000,1,W,Surabaya,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,93000000,93000000.0,93000000,4,A,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85000000,85000000.0,85000000,1,AB,JOGJA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,88500000,88500000.0,88500000,4,AB,YOGYAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,98000000,98000000.0,98000000,1,AG,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,97500000,97500000.0,97500000,4,AG,SURABAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,91500000,91500000.0,91500000,4,B,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,81000000,81000000.0,81000000,1,B,JAKARTA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,100000000,100000000.0,100000000,4,B,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,90500000,90500000.0,90500000,1,B,JAKARTA,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,87000000,87000000.0,87000000,4,B,PALEMBANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,99000000,99000000.0,99000000,4,BA,PEKANBARU,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,100000000,100000000.0,100000000,1,BD,BENGKULU,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,87000000,87000000.0,87000000,4,BE,PALEMBANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,95000000,95000000.0,95000000,4,BG,PALEMBANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,100500000,103576923.08,110000000,13,BG,PALEMBANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,91000000,91000000.0,91000000,1,BG,PALEMBANG,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,95000000,95000000.0,95000000,4,BH,JAMBI,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,90000000,90000000.0,90000000,4,BH,MEDAN,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,98500000,98500000.0,98500000,1,BH,PADANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,97000000,97000000.0,97000000,4,BK,MEDAN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85500000,85500000.0,85500000,1,BK,MEDAN,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,90000000,95333333.33,100000000,9,BM,PEKANBARU,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,87000000,87000000.0,87000000,4,BN,PALEMBANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,96000000,96000000.0,96000000,1,BN,PALEMBANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85000000,93000000.0,101000000,2,D,BANDUNG,10k-30k
